frame,track_id,cx,cy,speed,acceleration
317,9,2120.2200000000003,291.495,17.83707164867586,10.98944432236765
444,10,1881.3,314.78,25.318092838916574,22.207076124078814
458,10,1946.155,296.875,16.859048757269704,13.291836960922348
471,10,2019.5649999999998,300.84000000000003,19.706979093711766,12.174834644751648
25,15,2026.595,155.555,18.416131685291553,15.087074010813836
26,15,2038.0200000000002,184.49,31.10891913905085,12.692787453759298
322,15,1831.465,335.485,16.459590669272323,6.592602780356991
11,16,2043.23,218.89499999999998,46.916986529401065,45.269852655060284
12,16,2055.165,264.675,47.31017464562989,0.39318811622882777
388,16,1819.9650000000001,341.11,20.17521065565387,14.30116392448129
399,16,1874.0449999999998,343.505,19.77651700881612,16.185583982428764
401,16,1886.98,344.615,16.144275301171078,10.854464340465597
110,18,2337.865,381.545,18.904264069251997,3.3462275607464154
111,18,2321.7200000000003,381.78,16.146710191242818,-2.7575538780091797
118,18,2258.86,386.045,17.35111019502787,4.09945369480144
171,18,1804.085,456.555,20.26018385898812,10.500222281194938
332,18,1371.565,544.63,17.833346573204004,3.9533321639896997
397,18,2014.445,422.71999999999997,17.934074411577395,5.399729594236549
404,18,2095.815,417.245,16.42766112384856,1.261919302229714
412,18,2196.56,418.695,18.820622332962376,7.7178974421981295
331,19,1922.425,357.995,21.007267789981665,15.284967116301505
332,19,1930.8500000000001,373.90500000000003,18.003019885563752,-3.0042479044179125
11,20,2026.435,198.60500000000002,27.6713895567245,26.657486208273617
12,20,2039.1950000000002,213.785,19.830532015052064,-7.840857541672435
25,20,2033.0049999999999,190.92499999999998,28.156637316980976,23.93172015802983
27,20,2040.51,219.185,42.52274920557232,28.769752259451817
226,20,836.38,456.945,22.141768786616833,15.386822450782606
362,20,797.4449999999999,450.05,16.092353774386133,5.58833073556915
91,22,1983.0700000000002,307.47999999999996,16.340956214371094,12.157082411302873
98,22,1940.235,303.95,19.14387761139308,13.565791021889268
104,22,1901.3950000000002,302.01,19.256392445107657,7.522028380532175
12,24,2042.81,218.54,47.7310140265216,42.45740122862405
17,24,2051.975,245.56,46.220012981391505,41.04319913864037
27,24,2057.415,297.14,77.51308099282336,77.34755153925092
16,25,2051.115,249.07999999999998,19.13029273168591,10.326248206582727
17,25,2058.51,271.21999999999997,23.34235688614168,4.212064154455771
18,25,2066.895,312.51500000000004,42.13769393310462,18.795337046962942
160,27,207.195,645.1,25.710394784989198,25.525540619496503
161,27,164.725,659.505,44.84645944776465,19.136064662775453
163,27,209.58999999999997,644.9300000000001,38.70505457947318,29.99944144770584
404,29,212.465,638.3449999999999,16.01908393136136,6.248964945391947
437,29,192.59,643.79,21.86618393776105,15.857319652390595
441,29,216.655,647.775,32.491982472603915,28.635115220545604
442,29,180.665,646.62,36.00852850367536,3.5165460310714423
444,29,158.54500000000002,652.99,22.250416850027737,20.90325316286872
448,29,177.81,645.345,30.79505195644262,24.82519433669991
